"Order_ID","Order_Date","Customer_ID","Customer_Name","Product","Category","Quantity","Price","Sales","Profit","City","State","Region","Year","Month","Quarter","Month_Name","Profit_Margin","Is_Outlier"
"EC-1017",2025-06-15,"CUST-114","Charlotte Moore","Solid Oak Dining Table","Furniture",4,66000,264000,-38062.98,"Miami","Florida","South",2025,6,"Q2","Jun",-0.1442,TRUE
"EC-1018",2025-02-13,"CUST-138","Chloe Baker","LED Desk Lamp","Furniture",1,4000,4000,5.11,"Dallas","Texas","Central",2025,2,"Q1","Feb",0.0013,FALSE
"EC-1019",2026-05-31,"CUST-116","Amelia Martin","Denim Jeans","Clothing",3,4900,14700,7830.41,"Seattle","Washington","West",2026,5,"Q2","May",0.5327,FALSE
"EC-1020",2026-05-28,"CUST-110","Isabella Wilson","Premium Notebook Pack","Office Supplies",3,1200,3600,1790.62,"Nashville","Tennessee","South",2026,5,"Q2","May",0.4974,FALSE
"EC-1021",2024-10-23,"CUST-127","Jackson Hall","Sony WH-1000XM5","Electronics",2,33000,66000,18784.28,"Nashville","Tennessee","South",2024,10,"Q4","Oct",0.2846,FALSE
"EC-1022",2025-08-23,"CUST-108","Sophia Martinez","Denim Jeans","Clothing",4,4900,19600,6449.39,"Nashville","Tennessee","South",2025,8,"Q3","Aug",0.3291,FALSE
"EC-1023",2024-10-09,"CUST-123","David Rodriguez","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,591.34,"Boston","Massachusetts","East",2024,10,"Q4","Oct",0.2957,FALSE
"EC-1024",2025-09-12,"CUST-109","Benjamin Miller","Modern Sofa","Furniture",1,74500,74500,14365.3,"Dallas","Texas","Central",2025,9,"Q3","Sep",0.1928,FALSE
"EC-1025",2025-05-31,"CUST-135","Owen Scott","Gel Pen Set (12-pack)","Office Supplies",2,900,1800,720.45,"Los Angeles","California","West",2025,5,"Q2","May",0.4003,FALSE
"EC-1026",2024-07-30,"CUST-134","Grace Hill","Running Shoes","Clothing",2,9900,19800,8704.62,"Houston","Texas","Central",2024,7,"Q3","Jul",0.4396,FALSE
"EC-1027",2026-05-09,"CUST-138","Chloe Baker","Running Shoes","Clothing",2,9900,19800,5661.67,"Nashville","Tennessee","South",2026,5,"Q2","May",0.2859,FALSE
"EC-1028",2026-05-21,"CUST-134","Grace Hill","Solid Oak Dining Table","Furniture",1,66000,66000,-5408.53,"New York","New York","East",2026,5,"Q2","May",-0.0819,FALSE
"EC-1029",2024-09-15,"CUST-148","Nora Parker","Gel Pen Set (12-pack)","Office Supplies",1,900,900,480.46,"Chicago","Illinois","Central",2024,9,"Q3","Sep",0.5338,FALSE
"EC-1030",2024-11-09,"CUST-130","Ella Hernandez","Dell XPS 15","Electronics",2,124000,248000,63936.09,"Chicago","Illinois","Central",2024,11,"Q4","Nov",0.2578,TRUE
"EC-1031",2025-04-25,"CUST-125","Joseph Lee","Sony WH-1000XM5","Electronics",2,33000,66000,17665.73,"Chicago","Illinois","Central",2025,4,"Q2","Apr",0.2677,FALSE
"EC-1032",2024-10-24,"CUST-130","Ella Hernandez","Modern Sofa","Furniture",2,74500,149000,-4959.02,"Dallas","Texas","Central",2024,10,"Q4","Oct",-0.0333,FALSE
"EC-1033",2024-01-24,"CUST-109","Benjamin Miller","Dry Erase Whiteboard","Office Supplies",3,3700,11100,5841.93,"Boston","Massachusetts","East",2024,1,"Q1","Jan",0.5263,FALSE
"EC-1034",2024-06-06,"CUST-137","Gabriel Adams","Cotton Slim Fit T-Shirt","Clothing",2,2000,4000,1649.33,"Nashville","Tennessee","South",2024,6,"Q2","Jun",0.4123,FALSE
"EC-1035",2024-10-25,"CUST-117","Daniel Lee","LED Desk Lamp","Furniture",1,4000,4000,49.69,"Seattle","Washington","West",2024,10,"Q4","Oct",0.0124,FALSE
"EC-1036",2025-02-09,"CUST-144","Layla Roberts","Premium Notebook Pack","Office Supplies",1,1200,1200,768.83,"Boston","Massachusetts","East",2025,2,"Q1","Feb",0.6407,FALSE
"EC-1037",2024-11-09,"CUST-120","Evelyn Harris","Running Shoes","Clothing",2,9900,19800,7362.67,"San Francisco","California","West",2024,11,"Q4","Nov",0.3719,FALSE
"EC-1038",2025-10-09,"CUST-136","Victoria Green","Gel Pen Set (12-pack)","Office Supplies",1,900,900,355.21,"Miami","Florida","South",2025,10,"Q4","Oct",0.3947,FALSE
"EC-1039",2024-10-18,"CUST-138","Chloe Baker","Solid Oak Dining Table","Furniture",2,66000,132000,11686.88,"Dallas","Texas","Central",2024,10,"Q4","Oct",0.0885,FALSE
"EC-1040",2026-04-15,"CUST-134","Grace Hill","iPhone 15 Pro","Electronics",2,82900,165800,42282.87,"Los Angeles","California","West",2026,4,"Q2","Apr",0.255,TRUE
"EC-1041",2024-05-25,"CUST-103","Michael Johnson","Sony WH-1000XM5","Electronics",3,33000,99000,26270.6,"Nashville","Tennessee","South",2024,5,"Q2","May",0.2654,FALSE
"EC-1042",2025-09-12,"CUST-150","Zoe Edwards","Gel Pen Set (12-pack)","Office Supplies",2,900,1800,671.72,"Seattle","Washington","West",2025,9,"Q3","Sep",0.3732,FALSE
"EC-1043",2024-12-13,"CUST-117","Daniel Lee","Ergonomic Office Chair","Furniture",1,20500,20500,-2128.76,"New York","New York","East",2024,12,"Q4","Dec",-0.1038,FALSE
"EC-1044",2024-07-15,"CUST-124","Elizabeth Lewis","LED Desk Lamp","Furniture",1,4000,4000,569.69,"Atlanta","Georgia","South",2024,7,"Q3","Jul",0.1424,FALSE
"EC-1045",2025-05-30,"CUST-150","Zoe Edwards","Premium Notebook Pack","Office Supplies",2,1200,2400,1516.85,"Chicago","Illinois","Central",2025,5,"Q2","May",0.632,FALSE
"EC-1046",2024-08-13,"CUST-111","Lucas Anderson","Running Shoes","Clothing",2,9900,19800,5393.79,"Dallas","Texas","Central",2024,8,"Q3","Aug",0.2724,FALSE
"EC-1047",2025-05-18,"CUST-108","Sophia Martinez","Heavy Duty Stapler","Office Supplies",2,1800,3600,1345.05,"Houston","Texas","Central",2025,5,"Q2","May",0.3736,FALSE
"EC-1048",2024-12-20,"CUST-139","Carter Gonzalez","Modern Sofa","Furniture",2,74500,149000,-19703.78,"Nashville","Tennessee","South",2024,12,"Q4","Dec",-0.1322,TRUE
"EC-1049",2025-12-27,"CUST-120","Evelyn Harris","Denim Jeans","Clothing",1,4900,4900,1374.91,"Seattle","Washington","West",2025,12,"Q4","Dec",0.2806,FALSE
"EC-1050",2024-09-01,"CUST-128","Sofia Allen","Cotton Slim Fit T-Shirt","Clothing",2,2000,4000,1853.57,"Seattle","Washington","West",2024,9,"Q3","Sep",0.4634,FALSE
"EC-1051",2025-09-17,"CUST-123","David Rodriguez","Heavy Duty Stapler","Office Supplies",5,1800,9000,3363.67,"Boston","Massachusetts","East",2025,9,"Q3","Sep",0.3737,FALSE
"EC-1052",2024-09-18,"CUST-133","Luke Lopez","Dry Erase Whiteboard","Office Supplies",1,3700,3700,1546.39,"New York","New York","East",2024,9,"Q3","Sep",0.4179,FALSE
"EC-1053",2025-01-24,"CUST-119","Matthew White","Cotton Slim Fit T-Shirt","Clothing",3,2000,6000,3256.4,"Houston","Texas","Central",2025,1,"Q1","Jan",0.5427,FALSE
"EC-1054",2024-05-09,"CUST-116","Amelia Martin","Ergonomic Office Chair","Furniture",2,20500,41000,-5750.4,"New York","New York","East",2024,5,"Q2","May",-0.1403,FALSE
"EC-1055",2025-01-06,"CUST-140","Camila Nelson","Running Shoes","Clothing",4,9900,39600,18231.21,"Boston","Massachusetts","East",2025,1,"Q1","Jan",0.4604,FALSE
"EC-1056",2024-01-03,"CUST-150","Zoe Edwards","Heavy Duty Stapler","Office Supplies",2,1800,3600,1360.09,"Atlanta","Georgia","South",2024,1,"Q1","Jan",0.3778,FALSE
"EC-1057",2025-01-08,"CUST-110","Isabella Wilson","Heavy Duty Stapler","Office Supplies",1,1800,1800,896.59,"New York","New York","East",2025,1,"Q1","Jan",0.4981,FALSE
"EC-1058",2025-02-08,"CUST-110","Isabella Wilson","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,1015.36,"New York","New York","East",2025,2,"Q1","Feb",0.5077,FALSE
"EC-1059",2026-02-08,"CUST-119","Matthew White","Heavy Duty Stapler","Office Supplies",1,1800,1800,746.26,"New York","New York","East",2026,2,"Q1","Feb",0.4146,FALSE
"EC-1060",2026-05-19,"CUST-113","Alexander Taylor","Running Shoes","Clothing",3,9900,29700,12501.81,"Los Angeles","California","West",2026,5,"Q2","May",0.4209,FALSE
"EC-1061",2025-11-28,"CUST-123","David Rodriguez","Solid Oak Dining Table","Furniture",1,66000,66000,3072.98,"Seattle","Washington","West",2025,11,"Q4","Nov",0.0466,FALSE
"EC-1062",2025-10-11,"CUST-144","Layla Roberts","Waterproof Leather Jacket","Clothing",4,14900,59600,25312.53,"Nashville","Tennessee","South",2025,10,"Q4","Oct",0.4247,FALSE
"EC-1063",2024-02-09,"CUST-140","Camila Nelson","Ergonomic Office Chair","Furniture",3,20500,61500,-1176.42,"Nashville","Tennessee","South",2024,2,"Q1","Feb",-0.0191,FALSE
"EC-1064",2025-05-31,"CUST-138","Chloe Baker","Denim Jeans","Clothing",2,4900,9800,4843.53,"Philadelphia","Pennsylvania","East",2025,5,"Q2","May",0.4942,FALSE
"EC-1065",2024-02-02,"CUST-139","Carter Gonzalez","Gel Pen Set (12-pack)","Office Supplies",3,900,2700,1714.06,"San Francisco","California","West",2024,2,"Q1","Feb",0.6348,FALSE
"EC-1066",2024-04-12,"CUST-139","Carter Gonzalez","Ergonomic Office Chair","Furniture",3,20500,61500,5011.41,"Boston","Massachusetts","East",2024,4,"Q2","Apr",0.0815,FALSE
"EC-1067",2024-08-15,"CUST-137","Gabriel Adams","Cotton Slim Fit T-Shirt","Clothing",5,2000,10000,4513.99,"Boston","Massachusetts","East",2024,8,"Q3","Aug",0.4514,FALSE
"EC-1068",2024-04-18,"CUST-101","John Doe","Waterproof Leather Jacket","Clothing",4,14900,59600,14913.11,"Miami","Florida","South",2024,4,"Q2","Apr",0.2502,FALSE
"EC-1069",2024-11-24,"CUST-143","Wyatt Perez","Running Shoes","Clothing",1,9900,9900,2666.69,"Miami","Florida","South",2024,11,"Q4","Nov",0.2694,FALSE
"EC-1070",2025-10-30,"CUST-134","Grace Hill","iPhone 15 Pro","Electronics",5,82900,414500,98156.07,"Houston","Texas","Central",2025,10,"Q4","Oct",0.2368,TRUE
"EC-1071",2024-03-16,"CUST-150","Zoe Edwards","LED Desk Lamp","Furniture",1,4000,4000,-440.62,"Nashville","Tennessee","South",2024,3,"Q1","Mar",-0.1102,FALSE
"EC-1072",2026-02-15,"CUST-123","David Rodriguez","Waterproof Leather Jacket","Clothing",1,14900,14900,4089.9,"New York","New York","East",2026,2,"Q1","Feb",0.2745,FALSE
"EC-1073",2025-05-05,"CUST-142","Penelope Mitchell","Running Shoes","Clothing",2,9900,19800,9568.23,"Dallas","Texas","Central",2025,5,"Q2","May",0.4832,FALSE
"EC-1074",2025-06-30,"CUST-138","Chloe Baker","Denim Jeans","Clothing",1,4900,4900,1482.76,"Los Angeles","California","West",2025,6,"Q2","Jun",0.3026,FALSE
"EC-1075",2026-01-02,"CUST-136","Victoria Green","Running Shoes","Clothing",2,9900,19800,5931.71,"Seattle","Washington","West",2026,1,"Q1","Jan",0.2996,FALSE
"EC-1076",2024-01-16,"CUST-112","Mia Thomas","Dell XPS 15","Electronics",1,124000,124000,16353.12,"Dallas","Texas","Central",2024,1,"Q1","Jan",0.1319,FALSE
"EC-1077",2024-12-22,"CUST-106","Olivia Jones","Running Shoes","Clothing",2,9900,19800,8348.85,"Atlanta","Georgia","South",2024,12,"Q4","Dec",0.4217,FALSE
"EC-1078",2026-01-01,"CUST-117","Daniel Lee","Sony WH-1000XM5","Electronics",4,33000,132000,35391.01,"Boston","Massachusetts","East",2026,1,"Q1","Jan",0.2681,TRUE
"EC-1079",2024-09-04,"CUST-146","Lillian Phillips","LED Desk Lamp","Furniture",4,4000,16000,-530.3,"Houston","Texas","Central",2024,9,"Q3","Sep",-0.0331,FALSE
"EC-1080",2024-11-20,"CUST-101","John Doe","Running Shoes","Clothing",3,9900,29700,16235.77,"Miami","Florida","South",2024,11,"Q4","Nov",0.5467,FALSE
"EC-1081",2025-09-21,"CUST-143","Wyatt Perez","Denim Jeans","Clothing",3,4900,14700,5522.5,"Houston","Texas","Central",2025,9,"Q3","Sep",0.3757,FALSE
"EC-1082",2025-10-03,"CUST-120","Evelyn Harris","Heavy Duty Stapler","Office Supplies",3,1800,5400,3002.47,"New York","New York","East",2025,10,"Q4","Oct",0.556,FALSE
"EC-1083",2024-03-22,"CUST-126","Avery Walker","Sony WH-1000XM5","Electronics",3,33000,99000,24623.49,"San Francisco","California","West",2024,3,"Q1","Mar",0.2487,FALSE
"EC-1084",2026-05-30,"CUST-119","Matthew White","Cotton Slim Fit T-Shirt","Clothing",2,2000,4000,2168,"Houston","Texas","Central",2026,5,"Q2","May",0.542,FALSE
"EC-1085",2024-11-20,"CUST-137","Gabriel Adams","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,1007.08,"Los Angeles","California","West",2024,11,"Q4","Nov",0.5035,FALSE
"EC-1086",2025-09-13,"CUST-103","Michael Johnson","iPad Air","Electronics",1,49000,49000,10480.63,"Philadelphia","Pennsylvania","East",2025,9,"Q3","Sep",0.2139,FALSE
"EC-1087",2024-12-25,"CUST-145","Matthew Turner","Dell XPS 15","Electronics",4,124000,496000,119335.98,"Los Angeles","California","West",2024,12,"Q4","Dec",0.2406,TRUE
"EC-1088",2024-10-22,"CUST-119","Matthew White","Solid Oak Dining Table","Furniture",1,66000,66000,-2099.32,"New York","New York","East",2024,10,"Q4","Oct",-0.0318,FALSE
"EC-1089",2024-05-28,"CUST-150","Zoe Edwards","Waterproof Leather Jacket","Clothing",2,14900,29800,12234.85,"Chicago","Illinois","Central",2024,5,"Q2","May",0.4106,FALSE
"EC-1090",2025-07-22,"CUST-120","Evelyn Harris","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,785.79,"Nashville","Tennessee","South",2025,7,"Q3","Jul",0.3929,FALSE
"EC-1091",2024-04-09,"CUST-131","Jack King","Running Shoes","Clothing",1,9900,9900,4830.69,"San Francisco","California","West",2024,4,"Q2","Apr",0.4879,FALSE
"EC-1092",2024-10-24,"CUST-114","Charlotte Moore","Ergonomic Office Chair","Furniture",5,20500,102500,-11061.1,"Philadelphia","Pennsylvania","East",2024,10,"Q4","Oct",-0.1079,FALSE
"EC-1093",2025-02-05,"CUST-134","Grace Hill","Running Shoes","Clothing",2,9900,19800,8138.91,"San Francisco","California","West",2025,2,"Q1","Feb",0.4111,FALSE
"EC-1094",2024-03-31,"CUST-133","Luke Lopez","iPhone 15 Pro","Electronics",2,82900,165800,23431.94,"San Francisco","California","West",2024,3,"Q1","Mar",0.1413,FALSE
"EC-1095",2026-02-19,"CUST-122","Abigail Clark","Modern Sofa","Furniture",2,74500,149000,9246.23,"Miami","Florida","South",2026,2,"Q1","Feb",0.0621,FALSE
"EC-1096",2024-06-29,"CUST-146","Lillian Phillips","Heavy Duty Stapler","Office Supplies",3,1800,5400,1892.43,"Atlanta","Georgia","South",2024,6,"Q2","Jun",0.3505,FALSE
"EC-1097",2024-02-23,"CUST-107","James Garcia","Modern Sofa","Furniture",1,74500,74500,2885.38,"Dallas","Texas","Central",2024,2,"Q1","Feb",0.0387,FALSE
"EC-1098",2026-04-30,"CUST-147","Daniel Campbell","iPad Air","Electronics",3,49000,147000,18080.09,"Los Angeles","California","West",2026,4,"Q2","Apr",0.123,FALSE
"EC-1099",2024-10-14,"CUST-138","Chloe Baker","Cotton Slim Fit T-Shirt","Clothing",2,2000,4000,1456.93,"Los Angeles","California","West",2024,10,"Q4","Oct",0.3642,FALSE
"EC-1100",2025-12-20,"CUST-144","Layla Roberts","Running Shoes","Clothing",4,9900,39600,13812.91,"Dallas","Texas","Central",2025,12,"Q4","Dec",0.3488,FALSE
"EC-1101",2026-01-27,"CUST-143","Wyatt Perez","Heavy Duty Stapler","Office Supplies",2,1800,3600,2288.38,"Houston","Texas","Central",2026,1,"Q1","Jan",0.6357,FALSE
"EC-1102",2024-02-29,"CUST-110","Isabella Wilson","Premium Notebook Pack","Office Supplies",3,1200,3600,1853.57,"Miami","Florida","South",2024,2,"Q1","Feb",0.5149,FALSE
"EC-1103",2024-10-11,"CUST-130","Ella Hernandez","Modern Sofa","Furniture",3,74500,223500,-14312.62,"Atlanta","Georgia","South",2024,10,"Q4","Oct",-0.064,TRUE
"EC-1104",2026-04-28,"CUST-149","Julian Evans","Sony WH-1000XM5","Electronics",2,33000,66000,13432.93,"Miami","Florida","South",2026,4,"Q2","Apr",0.2035,FALSE
"EC-1105",2025-09-11,"CUST-125","Joseph Lee","Gel Pen Set (12-pack)","Office Supplies",1,900,900,382.93,"Miami","Florida","South",2025,9,"Q3","Sep",0.4255,FALSE
"EC-1106",2025-01-11,"CUST-110","Isabella Wilson","Dry Erase Whiteboard","Office Supplies",3,3700,11100,3979.86,"San Francisco","California","West",2025,1,"Q1","Jan",0.3585,FALSE
"EC-1107",2026-05-02,"CUST-130","Ella Hernandez","Ergonomic Office Chair","Furniture",1,20500,20500,-2896.41,"Miami","Florida","South",2026,5,"Q2","May",-0.1413,FALSE
"EC-1108",2025-09-29,"CUST-127","Jackson Hall","Cotton Slim Fit T-Shirt","Clothing",2,2000,4000,1149.09,"Dallas","Texas","Central",2025,9,"Q3","Sep",0.2873,FALSE
"EC-1109",2025-03-02,"CUST-119","Matthew White","Cotton Slim Fit T-Shirt","Clothing",2,2000,4000,1097.49,"Miami","Florida","South",2025,3,"Q1","Mar",0.2744,FALSE
"EC-1110",2025-03-17,"CUST-142","Penelope Mitchell","Running Shoes","Clothing",1,9900,9900,3113.56,"San Francisco","California","West",2025,3,"Q1","Mar",0.3145,FALSE
"EC-1111",2024-04-21,"CUST-109","Benjamin Miller","Dell XPS 15","Electronics",1,124000,124000,22000.61,"Miami","Florida","South",2024,4,"Q2","Apr",0.1774,FALSE
"EC-1112",2025-08-06,"CUST-122","Abigail Clark","Denim Jeans","Clothing",3,4900,14700,7272.59,"Boston","Massachusetts","East",2025,8,"Q3","Aug",0.4947,FALSE
"EC-1113",2024-10-11,"CUST-127","Jackson Hall","Modern Sofa","Furniture",1,74500,74500,11664.62,"Philadelphia","Pennsylvania","East",2024,10,"Q4","Oct",0.1566,FALSE
"EC-1114",2025-05-27,"CUST-108","Sophia Martinez","LED Desk Lamp","Furniture",2,4000,8000,796.84,"Chicago","Illinois","Central",2025,5,"Q2","May",0.0996,FALSE
"EC-1115",2024-05-20,"CUST-119","Matthew White","iPad Air","Electronics",2,49000,98000,20523.45,"Dallas","Texas","Central",2024,5,"Q2","May",0.2094,FALSE
"EC-1116",2025-12-18,"CUST-107","James Garcia","Sony WH-1000XM5","Electronics",2,33000,66000,11018.57,"Los Angeles","California","West",2025,12,"Q4","Dec",0.1669,FALSE
"EC-1117",2024-11-06,"CUST-126","Avery Walker","iPhone 15 Pro","Electronics",1,82900,82900,18648.41,"Seattle","Washington","West",2024,11,"Q4","Nov",0.225,FALSE
"EC-1118",2025-04-18,"CUST-116","Amelia Martin","Running Shoes","Clothing",1,9900,9900,2633.01,"San Francisco","California","West",2025,4,"Q2","Apr",0.266,FALSE
"EC-1119",2026-03-21,"CUST-108","Sophia Martinez","Heavy Duty Stapler","Office Supplies",2,1800,3600,1648.38,"Houston","Texas","Central",2026,3,"Q1","Mar",0.4579,FALSE
"EC-1120",2025-07-07,"CUST-123","David Rodriguez","Heavy Duty Stapler","Office Supplies",4,1800,7200,3457.24,"Dallas","Texas","Central",2025,7,"Q3","Jul",0.4802,FALSE
"EC-1121",2024-02-11,"CUST-121","Logan Martin","Dry Erase Whiteboard","Office Supplies",2,3700,7400,3039.34,"Seattle","Washington","West",2024,2,"Q1","Feb",0.4107,FALSE
"EC-1122",2026-01-29,"CUST-116","Amelia Martin","iPhone 15 Pro","Electronics",1,82900,82900,10669.38,"Nashville","Tennessee","South",2026,1,"Q1","Jan",0.1287,FALSE
"EC-1123",2026-05-14,"CUST-131","Jack King","Sony WH-1000XM5","Electronics",5,33000,165000,36808.4,"New York","New York","East",2026,5,"Q2","May",0.2231,TRUE
"EC-1124",2024-09-07,"CUST-129","Sebastian Young","Running Shoes","Clothing",2,9900,19800,6449.39,"Atlanta","Georgia","South",2024,9,"Q3","Sep",0.3257,FALSE
"EC-1125",2025-03-16,"CUST-143","Wyatt Perez","Premium Notebook Pack","Office Supplies",2,1200,2400,1167.77,"Philadelphia","Pennsylvania","East",2025,3,"Q1","Mar",0.4866,FALSE
"EC-1126",2025-10-30,"CUST-127","Jackson Hall","Gel Pen Set (12-pack)","Office Supplies",2,900,1800,834.69,"Seattle","Washington","West",2025,10,"Q4","Oct",0.4637,FALSE
"EC-1127",2024-01-25,"CUST-110","Isabella Wilson","Denim Jeans","Clothing",3,4900,14700,7473.01,"Nashville","Tennessee","South",2024,1,"Q1","Jan",0.5084,FALSE
"EC-1128",2026-06-01,"CUST-120","Evelyn Harris","Heavy Duty Stapler","Office Supplies",2,1800,3600,2220.39,"Boston","Massachusetts","East",2026,6,"Q2","Jun",0.6168,FALSE
"EC-1129",2025-12-03,"CUST-118","Harper Thompson","Ergonomic Office Chair","Furniture",4,20500,82000,11423.92,"Seattle","Washington","West",2025,12,"Q4","Dec",0.1393,FALSE
"EC-1130",2025-06-27,"CUST-116","Amelia Martin","Solid Oak Dining Table","Furniture",3,66000,198000,34835.08,"Philadelphia","Pennsylvania","East",2025,6,"Q2","Jun",0.1759,TRUE
"EC-1131",2026-04-28,"CUST-108","Sophia Martinez","iPhone 15 Pro","Electronics",3,82900,248700,64017.91,"Atlanta","Georgia","South",2026,4,"Q2","Apr",0.2574,TRUE
"EC-1132",2024-08-25,"CUST-121","Logan Martin","Running Shoes","Clothing",3,9900,29700,12599.8,"Nashville","Tennessee","South",2024,8,"Q3","Aug",0.4242,FALSE
"EC-1133",2025-06-09,"CUST-137","Gabriel Adams","Dry Erase Whiteboard","Office Supplies",2,3700,7400,3212.92,"New York","New York","East",2025,6,"Q2","Jun",0.4342,FALSE
"EC-1134",2025-09-14,"CUST-123","David Rodriguez","Sony WH-1000XM5","Electronics",3,33000,99000,21318.04,"Atlanta","Georgia","South",2025,9,"Q3","Sep",0.2153,FALSE
"EC-1135",2024-09-18,"CUST-150","Zoe Edwards","Dry Erase Whiteboard","Office Supplies",1,3700,3700,1368.31,"Boston","Massachusetts","East",2024,9,"Q3","Sep",0.3698,FALSE
"EC-1136",2025-05-18,"CUST-147","Daniel Campbell","Modern Sofa","Furniture",1,74500,74500,-1854.37,"Chicago","Illinois","Central",2025,5,"Q2","May",-0.0249,FALSE
"EC-1137",2024-10-25,"CUST-102","Jane Smith","Ergonomic Office Chair","Furniture",2,20500,41000,5346.47,"Houston","Texas","Central",2024,10,"Q4","Oct",0.1304,FALSE
"EC-1138",2025-03-21,"CUST-133","Luke Lopez","Heavy Duty Stapler","Office Supplies",1,1800,1800,1022.27,"Miami","Florida","South",2025,3,"Q1","Mar",0.5679,FALSE
"EC-1139",2025-12-20,"CUST-128","Sofia Allen","Dell XPS 15","Electronics",2,124000,248000,35126.84,"Atlanta","Georgia","South",2025,12,"Q4","Dec",0.1416,TRUE
"EC-1140",2025-01-03,"CUST-131","Jack King","Modern Sofa","Furniture",1,74500,74500,-8742.02,"Atlanta","Georgia","South",2025,1,"Q1","Jan",-0.1173,FALSE
"EC-1141",2025-05-26,"CUST-128","Sofia Allen","Gel Pen Set (12-pack)","Office Supplies",2,900,1800,743.57,"Philadelphia","Pennsylvania","East",2025,5,"Q2","May",0.4131,FALSE
"EC-1142",2026-01-27,"CUST-142","Penelope Mitchell","Heavy Duty Stapler","Office Supplies",2,1800,3600,1650.54,"Nashville","Tennessee","South",2026,1,"Q1","Jan",0.4585,FALSE
"EC-1143",2025-01-03,"CUST-109","Benjamin Miller","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,776.61,"Dallas","Texas","Central",2025,1,"Q1","Jan",0.3883,FALSE
"EC-1144",2026-01-23,"CUST-133","Luke Lopez","Premium Notebook Pack","Office Supplies",2,1200,2400,1481.41,"Miami","Florida","South",2026,1,"Q1","Jan",0.6173,FALSE
"EC-1145",2026-03-09,"CUST-117","Daniel Lee","Heavy Duty Stapler","Office Supplies",3,1800,5400,3399.57,"San Francisco","California","West",2026,3,"Q1","Mar",0.6296,FALSE
